TxnID,LedgerAccount,TransactionDate,PostingDate,Currency,DebitAmount,CreditAmount,Description,ReferenceNumber,MatchType
LDG00000103,10001,2026-01-03,2026-01-06,CAD,193213.29,0.00,Tax remittance,REF33286085,perfect
LDG00000104,30001,2026-02-09,2026-02-10,JPY,101113.08,0.00,Invoice payment to vendor,REF26152974,perfect
LDG00000105,30001,2026-03-05,2026-03-05,CAD,221589.30,0.00,Bond redemption,REF95323307,perfect
LDG00000106,20002,2026-02-04,2026-02-04,JPY,5313.55,0.00,Cheque payment,REF58461803,perfect
LDG00000107,40002,2026-03-13,2026-03-17,USD,421401.23,0.00,SEPA direct debit,REF45104054,perfect
LDG00000108,50001,2026-01-27,2026-01-27,AUD,140228.94,0.00,FX contract payment,REF70229417,perfect
LDG00000109,30001,2026-01-01,2026-01-01,AUD,0.00,477832.43,FX contract settlement,REF52986757,perfect
LDG00000110,50001,2026-02-09,2026-02-10,AUD,250545.90,0.00,Trade settlement payment,REF81105744,perfect
LDG00000111,60001,2026-01-13,2026-01-13,AUD,471338.19,0.00,Invoice payment to vendor,REF12570086,perfect
LDG00000112,30001,2026-02-17,2026-02-19,USD,363068.87,0.00,Loan repayment,REF23015182,perfect
LDG00000113,20002,2026-01-06,2026-01-08,GBP,411529.16,0.00,Intercompany transfer out,REF44954891,perfect
LDG00000114,40002,2026-01-05,2026-01-05,CAD,0.00,386258.95,Payroll funding,REF74878511,perfect
LDG00000115,30001,2026-02-12,2026-02-16,EUR,141726.51,0.00,Supplier payment,REF24864762,perfect
LDG00000116,50001,2026-01-30,2026-02-02,CHF,0.00,104656.78,ACH credit settlement,REF61677740,perfect
LDG00000117,40001,2026-03-10,2026-03-10,EUR,0.00,426513.82,Payroll funding,REF81280787,perfect
LDG00000118,10001,2026-03-10,2026-03-12,USD,0.00,173074.66,ACH credit settlement,REF27513842,perfect
LDG00000119,50001,2026-01-05,2026-01-06,JPY,0.00,360920.23,Equity sale proceeds,REF24494667,perfect
LDG00000120,30001,2026-03-11,2026-03-11,CHF,200556.49,0.00,Loan repayment,REF49905534,perfect
LDG00000121,70001,2026-02-22,2026-02-23,AUD,463871.79,0.00,Bond redemption,REF22628959,perfect
LDG00000122,50001,2026-01-27,2026-01-27,CHF,0.00,131690.62,Intercompany transfer in,REF35762305,perfect
LDG00000123,50001,2026-01-18,2026-01-19,CHF,0.00,184991.23,Loan drawdown,REF19339888,perfect
LDG00000124,50001,2026-01-12,2026-01-12,CHF,460423.84,0.00,Interest expense,REF11996791,perfect
LDG00000125,60001,2026-03-03,2026-03-04,CHF,53499.10,0.00,Invoice payment to vendor,REF79586461,perfect
LDG00000126,60001,2026-02-27,2026-02-27,USD,0.00,419623.99,Customer advance payment,REF94664680,perfect
LDG00000127,50001,2026-02-12,2026-02-12,AUD,0.00,332870.64,Equity sale proceeds,REF58210970,perfect
LDG00000128,20002,2026-01-21,2026-01-23,JPY,0.00,197095.05,FX contract settlement,REF32911565,perfect
LDG00000129,10001,2026-01-07,2026-01-09,JPY,291369.43,0.00,Trade settlement payment,REF44494998,perfect
LDG00000130,50001,2026-03-06,2026-03-06,CHF,0.00,265304.98,Dividend income,REF21285920,perfect
LDG00000131,20002,2026-02-10,2026-02-11,EUR,0.00,19805.91,Invoice payment INV-3547,REF30675441,perfect
LDG00000132,70001,2026-02-12,2026-02-13,USD,216499.82,0.00,Wire transfer outbound,REF99598739,perfect
LDG00000133,50001,2026-01-02,2026-01-02,AUD,46798.99,0.00,Cheque payment,REF85304528,perfect
LDG00000134,40001,2026-01-31,2026-02-03,JPY,186640.07,0.00,Service fee payment,REF38877236,perfect
LDG00000135,60001,2026-01-08,2026-01-08,JPY,211925.52,0.00,SEPA direct debit,REF84541685,perfect
LDG00000136,20002,2026-01-15,2026-01-16,CAD,0.00,26563.96,Deposit received,REF25364318,perfect
LDG00000137,20001,2026-01-03,2026-01-06,USD,134982.18,0.00,Utility payment,REF87133360,perfect
LDG00000138,40001,2026-03-25,2026-03-27,USD,0.00,422486.37,Wire transfer inbound,REF35539319,perfect
LDG00000139,10002,2026-03-28,2026-03-28,AUD,0.00,368544.27,Interest credit,REF94604979,perfect
LDG00000140,40002,2026-02-03,2026-02-03,CAD,0.00,171013.37,Refund received,REF64964144,perfect
LDG00000141,30001,2026-03-18,2026-03-20,EUR,0.00,456434.55,Interest credit,REF79853211,perfect
LDG00000142,10001,2026-03-02,2026-03-04,EUR,338222.71,0.00,Invoice payment to vendor,REF66642746,perfect
LDG00000143,70001,2026-01-09,2026-01-13,GBP,427714.21,0.00,SEPA direct debit,REF67309212,perfect
LDG00000144,40001,2026-01-16,2026-01-16,AUD,0.00,282021.90,Equity sale proceeds,REF63008853,perfect
LDG00000145,40001,2026-02-14,2026-02-14,EUR,23339.07,0.00,Insurance premium payment,REF15802649,perfect
LDG00000146,20001,2026-03-27,2026-03-31,AUD,780.56,0.00,SEPA direct debit,REF80743589,perfect
LDG00000147,70001,2026-03-11,2026-03-11,EUR,178455.94,0.00,Invoice payment to vendor,REF71720879,perfect
LDG00000148,60001,2026-01-20,2026-01-20,GBP,209573.75,0.00,Insurance premium payment,REF24395416,perfect
LDG00000149,60001,2026-02-25,2026-02-27,CHF,0.00,352769.61,ACH credit settlement,REF89221344,perfect
LDG00000150,30001,2026-03-21,2026-03-23,GBP,0.00,377756.00,Dividend income,REF89525812,perfect
LDG00000151,20002,2026-01-28,2026-01-30,CHF,96431.97,0.00,Wire transfer outbound,REF92145135,perfect
LDG00000152,50001,2026-01-01,2026-01-01,EUR,0.00,330629.41,Loan drawdown,REF93419652,perfect
LDG00000153,60001,2026-02-21,2026-02-24,USD,419954.17,0.00,ACH debit settlement,REF86613825,perfect
LDG00000154,40001,2026-03-09,2026-03-10,AUD,0.00,290573.84,Equity sale proceeds,REF41715164,perfect
LDG00000155,40001,2026-03-18,2026-03-18,USD,0.00,494421.76,Refund received,REF54677977,perfect
LDG00000156,20002,2026-03-24,2026-03-24,EUR,67659.15,0.00,Intercompany transfer out,REF21941606,perfect
LDG00000157,20001,2026-02-14,2026-02-17,CAD,253168.36,0.00,Invoice payment to vendor,REF89521145,perfect
LDG00000158,50001,2026-03-17,2026-03-17,CHF,43003.57,0.00,ACH debit settlement,REF23199125,perfect
LDG00000159,40001,2026-03-09,2026-03-10,USD,0.00,479358.67,FX contract settlement,REF63482119,perfect
LDG00000160,10002,2026-03-03,2026-03-04,EUR,267652.02,0.00,ACH debit settlement,REF44664129,perfect
LDG00000161,10002,2026-01-12,2026-01-13,AUD,0.00,313361.09,Refund received,REF42107532,perfect
LDG00000162,10001,2026-02-20,2026-02-23,JPY,403249.32,0.00,Rent payment,REF74176687,perfect
LDG00000163,30001,2026-03-29,2026-03-31,EUR,0.00,223234.37,Deposit received,REF31059660,perfect
LDG00000164,60001,2026-01-29,2026-01-29,AUD,389038.26,0.00,Insurance premium payment,REF94207988,perfect
LDG00000165,40002,2026-02-20,2026-02-23,EUR,469739.61,0.00,Loan repayment,REF39077082,perfect
LDG00000166,50001,2026-02-05,2026-02-06,CAD,0.00,12172.20,Loan drawdown,REF68534394,perfect
LDG00000167,50001,2026-02-02,2026-02-03,CAD,0.00,459958.88,Dividend income,REF51089765,perfect
LDG00000168,40001,2026-02-05,2026-02-05,GBP,0.00,368739.35,SEPA credit transfer,REF90498974,perfect
LDG00000169,20001,2026-02-19,2026-02-19,CAD,0.00,83034.96,Dividend income,REF86958032,perfect
LDG00000170,70001,2026-02-05,2026-02-05,CAD,0.00,293310.39,FX contract settlement,REF82754184,perfect
LDG00000171,20001,2026-01-01,2026-01-05,CHF,112355.73,0.00,Equipment purchase,REF75126646,perfect
LDG00000172,30001,2026-03-09,2026-03-10,JPY,293943.04,0.00,FX contract payment,REF25827310,perfect
LDG00000173,70001,2026-01-04,2026-01-05,CAD,0.00,431763.29,Trade settlement receipt,REF26107202,perfect
LDG00000174,60001,2026-01-14,2026-01-16,USD,278943.66,0.00,Rent payment,REF54077236,perfect
LDG00000175,20002,2026-01-24,2026-01-26,USD,198900.12,0.00,Cheque payment,REF63547188,perfect
LDG00000176,60001,2026-03-25,2026-03-27,CAD,0.00,148569.93,Bond coupon payment,REF73828438,perfect
LDG00000177,40001,2026-02-14,2026-02-17,USD,0.00,401100.21,Loan drawdown,REF17139691,perfect
LDG00000178,10001,2026-02-07,2026-02-09,CHF,35518.61,0.00,Wire transfer outbound,REF77338859,perfect
LDG00000179,40002,2026-03-15,2026-03-15,JPY,0.00,319367.03,FX contract settlement,REF98783139,perfect
LDG00000180,40001,2026-02-24,2026-02-25,USD,0.00,476917.33,Invoice payment INV-1172,REF35429857,perfect
LDG00000181,10001,2026-02-22,2026-02-24,GBP,473673.09,0.00,Trade settlement payment,REF38911751,perfect
LDG00000182,60001,2026-03-20,2026-03-23,EUR,0.00,83292.51,Payroll funding,REF54613046,perfect
LDG00000183,50001,2026-02-18,2026-02-19,JPY,0.00,382262.62,Sales proceeds,REF96408543,perfect
LDG00000184,60001,2026-03-12,2026-03-13,GBP,374088.55,0.00,Intercompany transfer out,REF86708504,perfect
LDG00000185,10001,2026-03-02,2026-03-04,CHF,130245.54,0.00,Interest expense,REF79007257,perfect
LDG00000186,60001,2026-03-29,2026-03-30,JPY,139598.33,0.00,Bond redemption,REF20100516,perfect
LDG00000187,50001,2026-03-12,2026-03-12,CHF,298489.64,0.00,Wire transfer outbound,REF56963526,perfect
LDG00000188,10001,2026-03-29,2026-03-29,CHF,478934.60,0.00,Rent payment,REF32447918,perfect
LDG00000189,20002,2026-01-23,2026-01-23,CAD,228164.58,0.00,Utility payment,REF87332900,perfect
LDG00000190,20002,2026-02-25,2026-02-25,CHF,121308.14,0.00,Trade settlement payment,REF17104127,perfect
LDG00000191,40002,2026-01-09,2026-01-12,AUD,0.00,287737.79,Customer payment received,REF25530765,perfect
LDG00000192,70001,2026-03-25,2026-03-27,EUR,453534.18,0.00,Utility payment,REF18269292,perfect
LDG00000193,30001,2026-01-29,2026-01-30,EUR,0.00,148895.36,Invoice payment INV-4912,REF28889332,perfect
LDG00000194,40002,2026-03-09,2026-03-10,CHF,46415.01,0.00,Interest expense,REF27332641,perfect
LDG00000195,20001,2026-03-12,2026-03-13,USD,0.00,373401.19,Interest credit,REF68763151,perfect
LDG00000196,20001,2026-01-27,2026-01-28,CHF,0.00,186606.62,SEPA credit transfer,REF42814916,perfect
LDG00000197,70001,2026-03-19,2026-03-23,CAD,0.00,101071.27,Loan drawdown,REF46772993,perfect
LDG00000198,20001,2026-01-02,2026-01-06,CHF,0.00,112242.86,Customer advance payment,REF43868100,perfect
LDG00000199,20002,2026-03-25,2026-03-25,AUD,378460.31,0.00,Trade settlement payment,REF39999779,perfect
LDG00000200,10002,2026-02-06,2026-02-06,USD,450845.17,0.00,Wire transfer outbound,REF72271557,perfect
LDG00000201,10001,2026-01-08,2026-01-09,USD,0.00,104447.49,Payroll funding,REF23946693,perfect
LDG00000202,60001,2026-02-01,2026-02-01,AUD,427237.57,0.00,Insurance premium payment,REF49358040,perfect
LDG00000203,10001,2026-01-29,2026-01-30,AUD,315488.78,0.00,Commission expense,REF72131757,perfect
LDG00000204,50001,2026-03-04,2026-03-04,JPY,361788.99,0.00,Interest expense,REF87401027,perfect
LDG00000205,40002,2026-01-15,2026-01-19,EUR,145737.74,0.00,Interest expense,REF69853006,perfect
LDG00000206,10002,2026-01-07,2026-01-08,EUR,209460.71,0.00,FX contract payment,REF74908494,perfect
LDG00000207,50001,2026-01-23,2026-01-23,AUD,0.00,422674.32,SEPA credit transfer,REF57985625,perfect
LDG00000208,10002,2026-03-30,2026-04-01,AUD,71783.58,0.00,Rent payment,REF98390008,perfect
LDG00000209,70001,2026-03-01,2026-03-03,CHF,263527.86,0.00,Payroll disbursement,REF53521759,perfect
LDG00000210,10001,2026-01-10,2026-01-12,JPY,0.00,70575.68,Trade settlement receipt,REF70745570,perfect
LDG00000211,10002,2026-02-07,2026-02-09,JPY,0.00,240369.67,FX contract settlement,REF12585538,perfect
LDG00000212,30001,2026-01-10,2026-01-12,CHF,0.00,62182.54,Commission income,REF68650481,perfect
LDG00000213,10002,2026-01-07,2026-01-08,CAD,0.00,482164.01,Loan drawdown,REF38395260,perfect
LDG00000214,10002,2026-03-18,2026-03-20,CHF,0.00,428460.84,ACH credit settlement,REF76622869,perfect
LDG00000215,30001,2026-02-21,2026-02-21,JPY,0.00,245209.99,Intercompany transfer in,REF11438571,perfect
LDG00000216,40002,2026-01-25,2026-01-25,EUR,0.00,126489.61,Customer payment received,REF72137140,perfect
LDG00000217,10002,2026-01-04,2026-01-06,CAD,129780.63,0.00,Supplier payment,REF98712716,perfect
LDG00000218,40001,2026-01-13,2026-01-14,GBP,321874.77,0.00,Invoice payment to vendor,REF51335587,perfect
LDG00000219,20002,2026-02-17,2026-02-19,GBP,418729.09,0.00,Interest expense,REF77487175,perfect
LDG00000220,30001,2026-03-17,2026-03-18,EUR,432907.40,0.00,Payroll disbursement,REF85110906,perfect
LDG00000221,20002,2026-01-24,2026-01-27,GBP,0.00,402592.61,Bond coupon payment,REF33549020,perfect
LDG00000222,60001,2026-01-08,2026-01-08,GBP,129308.55,0.00,Payroll disbursement,REF98158782,perfect
LDG00000223,30001,2026-02-14,2026-02-14,EUR,0.00,171085.43,Dividend income,REF88994869,perfect
LDG00000224,30001,2026-01-05,2026-01-05,GBP,0.00,371449.10,Sales proceeds,REF78682819,perfect
LDG00000225,30001,2026-03-07,2026-03-10,EUR,0.00,430509.36,Trade settlement receipt,REF86179780,perfect
LDG00000226,50001,2026-02-03,2026-02-03,USD,64828.82,0.00,Commission expense,REF77756432,perfect
LDG00000227,40002,2026-02-28,2026-02-28,CHF,87283.99,0.00,Rent payment,REF61557671,perfect
LDG00000228,70001,2026-03-09,2026-03-11,GBP,0.00,103299.52,Refund received,REF61441567,perfect
LDG00000229,40001,2026-02-17,2026-02-19,GBP,428594.14,0.00,Service fee payment,REF61762678,perfect
LDG00000230,50001,2026-03-02,2026-03-04,USD,0.00,113468.03,Bond coupon payment,REF47647613,perfect
LDG00000231,40001,2026-03-12,2026-03-13,CAD,0.00,374804.88,Refund received,REF57995702,perfect
LDG00000232,20001,2026-03-23,2026-03-25,EUR,488032.66,0.00,Rent payment,REF35129048,perfect
LDG00000233,30001,2026-02-03,2026-02-05,EUR,0.00,274074.73,Invoice payment INV-3281,REF29747754,perfect
LDG00000234,20001,2026-03-08,2026-03-08,AUD,134057.93,0.00,Interest expense,REF49500469,perfect
LDG00000235,30001,2026-01-31,2026-02-02,EUR,0.00,184653.56,Bond coupon payment,REF88892508,perfect
LDG00000236,20001,2026-03-18,2026-03-18,USD,103188.98,0.00,Tax remittance,REF55919592,perfect
LDG00000237,20001,2026-01-21,2026-01-22,CAD,91902.26,0.00,FX contract payment,REF11692213,perfect
LDG00000238,30001,2026-03-04,2026-03-04,JPY,306225.61,0.00,Payroll disbursement,REF40655231,perfect
LDG00000239,60001,2026-03-17,2026-03-18,EUR,0.00,400915.54,Wire transfer inbound,REF99730429,perfect
LDG00000240,40002,2026-03-06,2026-03-09,JPY,48174.93,0.00,Rent payment,REF99519547,perfect
LDG00000241,60001,2026-02-16,2026-02-16,USD,0.00,336473.50,Deposit received,REF30995003,perfect
LDG00000242,10002,2026-03-23,2026-03-24,CAD,0.00,192262.57,Refund received,REF34663457,perfect
LDG00000243,30001,2026-01-29,2026-01-29,AUD,379488.15,0.00,Wire transfer outbound,REF93524197,perfect
LDG00000244,20002,2026-03-07,2026-03-07,USD,476866.48,0.00,Insurance premium payment,REF22665596,perfect
LDG00000245,70001,2026-02-12,2026-02-13,CAD,393331.01,0.00,Invoice payment to vendor,REF63493631,perfect
LDG00000246,60001,2026-02-18,2026-02-19,CHF,0.00,356258.79,Equity sale proceeds,REF81640181,perfect
LDG00000247,60001,2026-01-14,2026-01-15,USD,388139.13,0.00,Loan repayment,REF77074414,perfect
LDG00000248,60001,2026-03-07,2026-03-09,JPY,0.00,479179.45,Wire transfer inbound,REF52635598,perfect
LDG00000249,20001,2026-02-21,2026-02-21,USD,278220.03,0.00,Interest expense,REF92240344,perfect
LDG00000250,40001,2026-01-04,2026-01-04,CHF,0.00,12400.91,Bond coupon payment,REF15781531,perfect
LDG00000251,40001,2026-02-06,2026-02-06,CHF,0.00,122802.05,Equity sale proceeds,REF47134584,perfect
LDG00000252,50001,2026-02-25,2026-02-25,JPY,0.00,253099.39,Refund received,REF18522633,perfect
LDG00000253,50001,2026-01-19,2026-01-20,GBP,473555.09,0.00,SEPA direct debit,REF23050881,perfect
