TxnID,LedgerAccount,TransactionDate,PostingDate,Currency,DebitAmount,CreditAmount,Description,ReferenceNumber,MatchType
LDG00000034,40002,2026-01-17,2026-01-20,CAD,100085.62,0.00,Trade settlement payment,REF23507317,oneToMany
LDG00000035,60001,2026-02-04,2026-02-04,USD,0.00,471982.95,Customer payment received,REF24257189,oneToMany
LDG00000036,10001,2026-01-28,2026-01-29,CHF,0.00,272551.35,Deposit received,REF52049604,oneToMany
LDG00000037,40001,2026-01-31,2026-02-03,EUR,0.00,385330.67,Intercompany transfer in,REF11332171,oneToMany
LDG00000038,40002,2026-01-01,2026-01-05,EUR,478092.86,0.00,Payroll disbursement,REF88930920,oneToMany
LDG00000039,60001,2026-02-25,2026-02-26,USD,72135.50,0.00,Insurance premium payment,REF63237799,oneToMany
LDG00000040,40002,2026-01-20,2026-01-20,GBP,289018.38,0.00,Rent payment,REF26010872,oneToMany
LDG00000041,10002,2026-02-15,2026-02-16,EUR,463397.90,0.00,Cheque payment,REF49270811,oneToMany
LDG00000042,20002,2026-01-08,2026-01-09,JPY,72967.29,0.00,Equipment purchase,REF52607080,oneToMany
LDG00000043,50001,2026-01-31,2026-02-03,CHF,441359.45,0.00,Interest expense,REF88774996,oneToMany
LDG00000044,70001,2026-02-22,2026-02-23,USD,393598.11,0.00,Interest expense,REF71625367,oneToMany
LDG00000045,60001,2026-01-31,2026-02-03,EUR,133560.85,0.00,ACH debit settlement,REF11097786,oneToMany
LDG00000046,60001,2026-01-15,2026-01-15,GBP,0.00,467644.60,ACH credit settlement,REF29723613,oneToMany
LDG00000047,40001,2026-03-16,2026-03-17,USD,214041.20,0.00,Cheque payment,REF28862614,oneToMany
LDG00000048,10001,2026-02-05,2026-02-06,JPY,0.00,73072.95,Sales proceeds,REF55172343,oneToMany
LDG00000049,20001,2026-03-10,2026-03-12,AUD,68264.12,0.00,Payroll disbursement,REF33137872,oneToMany
LDG00000050,10002,2026-01-31,2026-02-02,AUD,0.00,251796.63,Equity sale proceeds,REF80465530,oneToMany
