TxnID,LedgerAccount,TransactionDate,PostingDate,Currency,DebitAmount,CreditAmount,Description,ReferenceNumber,MatchType
LDG00000049,60001,2026-01-02,2026-01-05,GBP,103312.38,0.00,Utility payment,REF55391871-1,manyToOne
LDG00000050,60001,2026-01-02,2026-01-05,GBP,142750.69,0.00,Bond redemption,REF55391871-2,manyToOne
LDG00000051,30001,2026-01-07,2026-01-09,GBP,83257.85,0.00,FX contract payment,REF90003684-1,manyToOne
LDG00000052,30001,2026-01-07,2026-01-09,GBP,112065.33,0.00,Interest expense,REF90003684-2,manyToOne
LDG00000053,70001,2026-03-05,2026-03-09,AUD,0.00,22507.53,Wire transfer inbound,REF45520632-1,manyToOne
LDG00000054,70001,2026-03-05,2026-03-09,AUD,0.00,18005.81,Interest credit,REF45520632-2,manyToOne
LDG00000055,20002,2026-03-21,2026-03-23,JPY,230420.57,0.00,FX contract payment,REF14780578-1,manyToOne
LDG00000056,20002,2026-03-21,2026-03-23,JPY,248609.49,0.00,Trade settlement payment,REF14780578-2,manyToOne
LDG00000057,20002,2026-01-12,2026-01-12,AUD,0.00,59804.96,Interest credit,REF65091210-1,manyToOne
LDG00000058,20002,2026-01-12,2026-01-12,AUD,0.00,53765.88,Trade settlement receipt,REF65091210-2,manyToOne
LDG00000059,50001,2026-02-01,2026-02-02,EUR,0.00,38818.05,SEPA credit transfer,REF29606428-1,manyToOne
LDG00000060,50001,2026-02-01,2026-02-02,EUR,0.00,35365.82,Trade settlement receipt,REF29606428-2,manyToOne
LDG00000061,60001,2026-02-28,2026-02-28,JPY,0.00,153586.78,SEPA credit transfer,REF49067528-1,manyToOne
LDG00000062,60001,2026-02-28,2026-02-28,JPY,0.00,118579.41,Commission income,REF49067528-2,manyToOne
LDG00000063,30001,2026-03-19,2026-03-19,CAD,81615.39,0.00,Equipment purchase,REF88372512-1,manyToOne
LDG00000064,30001,2026-03-19,2026-03-19,CAD,105849.11,0.00,Payroll disbursement,REF88372512-2,manyToOne
LDG00000065,40002,2026-03-17,2026-03-18,USD,0.00,34488.21,Bond coupon payment,REF55486258-1,manyToOne
LDG00000066,40002,2026-03-17,2026-03-18,USD,0.00,32991.33,Sales proceeds,REF55486258-2,manyToOne
LDG00000067,60001,2026-03-21,2026-03-21,CAD,0.00,30579.88,Customer payment received,REF57426049-1,manyToOne
LDG00000068,60001,2026-03-21,2026-03-21,CAD,0.00,38576.09,Deposit received,REF57426049-2,manyToOne
LDG00000069,70001,2026-01-07,2026-01-08,JPY,0.00,132561.01,Trade settlement receipt,REF52286234-1,manyToOne
LDG00000070,70001,2026-01-07,2026-01-08,JPY,0.00,142856.81,Refund received,REF52286234-2,manyToOne
LDG00000071,10001,2026-03-09,2026-03-10,EUR,0.00,113333.22,Customer advance payment,REF61874237-1,manyToOne
LDG00000072,10001,2026-03-09,2026-03-10,EUR,0.00,109481.08,SEPA credit transfer,REF61874237-2,manyToOne
LDG00000073,70001,2026-01-26,2026-01-27,CAD,0.00,81990.27,SEPA credit transfer,REF46043593-1,manyToOne
LDG00000074,70001,2026-01-26,2026-01-27,CAD,0.00,76158.10,Sales proceeds,REF46043593-2,manyToOne
LDG00000075,60001,2026-02-14,2026-02-14,EUR,207342.41,0.00,Tax remittance,REF64424668-1,manyToOne
LDG00000076,60001,2026-02-14,2026-02-14,EUR,233605.70,0.00,Interest expense,REF64424668-2,manyToOne
LDG00000077,50001,2026-03-07,2026-03-07,JPY,208655.68,0.00,Rent payment,REF16584842-1,manyToOne
LDG00000078,50001,2026-03-07,2026-03-07,JPY,149287.47,0.00,Bond redemption,REF16584842-2,manyToOne
LDG00000079,10001,2026-02-07,2026-02-07,JPY,45919.98,0.00,Loan repayment,REF59665480-1,manyToOne
LDG00000080,10001,2026-02-07,2026-02-07,JPY,68342.22,0.00,Insurance premium payment,REF59665480-2,manyToOne
LDG00000081,70001,2026-01-19,2026-01-19,AUD,0.00,130093.59,Payroll funding,REF27632273-1,manyToOne
LDG00000082,70001,2026-01-19,2026-01-19,AUD,0.00,132343.95,Wire transfer inbound,REF27632273-2,manyToOne
LDG00000083,40001,2026-01-30,2026-02-03,CAD,0.00,178132.42,Sales proceeds,REF69596968-1,manyToOne
LDG00000084,40001,2026-01-30,2026-02-03,CAD,0.00,183827.16,Refund received,REF69596968-2,manyToOne
LDG00000085,30001,2026-02-05,2026-02-05,CAD,0.00,9998.88,Commission income,REF47429689-1,manyToOne
LDG00000086,30001,2026-02-05,2026-02-05,CAD,0.00,10862.29,Customer advance payment,REF47429689-2,manyToOne
LDG00000087,60001,2026-01-18,2026-01-18,USD,30560.52,0.00,Trade settlement payment,REF84706895-1,manyToOne
LDG00000088,60001,2026-01-18,2026-01-18,USD,20486.84,0.00,Intercompany transfer out,REF84706895-2,manyToOne
LDG00000089,10001,2026-02-27,2026-02-27,USD,0.00,106965.13,Interest credit,REF52261395-1,manyToOne
LDG00000090,10001,2026-02-27,2026-02-27,USD,0.00,156336.08,Invoice payment INV-7146,REF52261395-2,manyToOne
LDG00000091,60001,2026-01-28,2026-01-30,CAD,249551.30,0.00,Rent payment,REF64092640-1,manyToOne
LDG00000092,60001,2026-01-28,2026-01-30,CAD,175817.33,0.00,Invoice payment to vendor,REF64092640-2,manyToOne
LDG00000093,10001,2026-02-09,2026-02-10,GBP,0.00,52953.46,Customer payment received,REF44182749-1,manyToOne
LDG00000094,10001,2026-02-09,2026-02-10,GBP,0.00,45216.89,Grant proceeds,REF44182749-2,manyToOne
LDG00000095,40002,2026-02-02,2026-02-04,JPY,54825.93,0.00,Invoice payment to vendor,REF62989606-1,manyToOne
LDG00000096,40002,2026-02-02,2026-02-04,JPY,72172.59,0.00,Cheque payment,REF62989606-2,manyToOne
LDG00000097,10001,2026-03-03,2026-03-04,CAD,0.00,52621.85,Trade settlement receipt,REF78785352-1,manyToOne
LDG00000098,10001,2026-03-03,2026-03-04,CAD,0.00,61087.09,Loan drawdown,REF78785352-2,manyToOne
LDG00000099,40001,2026-03-05,2026-03-06,EUR,0.00,225637.11,Interest credit,REF33575493-1,manyToOne
LDG00000100,40001,2026-03-05,2026-03-06,EUR,0.00,168574.17,Bond coupon payment,REF33575493-2,manyToOne
